id,age,salary,score,city,active,join_date
1,56.0,83026.0,0.026,Mumbai,True,2010-01-01 00:00:00
2,69.0,98504.0,0.144,Mumbai,True,2010-01-01 01:00:00
3,46.0,128388.0,0.542,Hyderabad,True,2010-01-01 02:00:00
4,32.0,33280.0,0.618,Mumbai,False,2010-01-01 03:00:00
5,60.0,149892.0,0.769,Mumbai,False,2010-01-01 04:00:00
6,25.0,22754.0,0.968,Hyderabad,False,2010-01-01 05:00:00
7,38.0,103392.0,0.702,Mumbai,False,2010-01-01 06:00:00
8,56.0,,0.545,Delhi,True,2010-01-01 07:00:00
9,36.0,63386.0,0.414,Hyderabad,False,2010-01-01 08:00:00
10,40.0,51365.0,0.738,Delhi,False,2010-01-01 09:00:00
11,28.0,101353.0,0.935,Chennai,True,2010-01-01 10:00:00
12,28.0,,0.423,Delhi,False,2010-01-01 11:00:00
13,41.0,21803.0,0.585,Kolkata,False,2010-01-01 12:00:00
14,53.0,144907.0,0.207,Kolkata,False,2010-01-01 13:00:00
15,57.0,28272.0,0.857,Chennai,True,2010-01-01 14:00:00
16,41.0,116986.0,0.714,Kolkata,False,2010-01-01 15:00:00
17,20.0,141345.0,0.355,Bangalore,False,2010-01-01 16:00:00
18,39.0,101204.0,0.874,Mumbai,False,2010-01-01 17:00:00
19,19.0,145848.0,0.971,Bangalore,False,2010-01-01 18:00:00
20,41.0,125210.0,0.289,Mumbai,False,2010-01-01 19:00:00
21,61.0,47117.0,0.187,Chennai,True,2010-01-01 20:00:00
22,47.0,107275.0,0.832,Hyderabad,True,2010-01-01 21:00:00
23,55.0,64699.0,,Mumbai,True,2010-01-01 22:00:00
24,19.0,88524.0,0.884,Delhi,True,2010-01-01 23:00:00
25,,27204.0,0.348,Kolkata,False,2010-01-02 00:00:00
26,50.0,98564.0,0.581,Chennai,False,2010-01-02 01:00:00
27,,140464.0,0.577,Delhi,True,2010-01-02 02:00:00
28,39.0,94052.0,0.188,Mumbai,False,2010-01-02 03:00:00
29,61.0,82519.0,0.992,Kolkata,False,2010-01-02 04:00:00
30,42.0,51864.0,0.664,Kolkata,True,2010-01-02 05:00:00
31,66.0,120665.0,0.664,Chennai,False,2010-01-02 06:00:00
32,44.0,70386.0,0.297,Delhi,True,2010-01-02 07:00:00
33,59.0,,0.65,Chennai,True,2010-01-02 08:00:00
34,45.0,36486.0,0.833,Chennai,True,2010-01-02 09:00:00
35,,34774.0,0.814,Mumbai,True,2010-01-02 10:00:00
36,32.0,123216.0,0.92,Mumbai,True,2010-01-02 11:00:00
37,64.0,86282.0,0.149,Bangalore,False,2010-01-02 12:00:00
38,68.0,34373.0,0.183,Hyderabad,False,2010-01-02 13:00:00
39,61.0,57676.0,0.71,Mumbai,True,2010-01-02 14:00:00
40,69.0,23691.0,0.808,Hyderabad,True,2010-01-02 15:00:00
41,20.0,,0.674,Hyderabad,False,2010-01-02 16:00:00
42,54.0,45823.0,0.143,Chennai,False,2010-01-02 17:00:00
43,68.0,121368.0,0.595,Mumbai,False,2010-01-02 18:00:00
44,24.0,74564.0,0.748,Hyderabad,False,2010-01-02 19:00:00
45,38.0,87255.0,0.137,Bangalore,True,2010-01-02 20:00:00
46,26.0,71354.0,0.056,Delhi,False,2010-01-02 21:00:00
47,56.0,,0.255,Hyderabad,False,2010-01-02 22:00:00
